iter	Passed	Remaining
0	1	135
1	2	118
2	3	113
3	4	109
4	5	106
5	6	104
6	7	102
7	8	99
8	9	98
9	10	97
10	11	95
11	12	94
12	13	92
13	14	91
14	15	90
15	17	89
16	18	88
17	19	87
18	20	86
19	21	84
20	21	82
21	22	81
22	23	80
23	24	78
24	25	77
25	26	76
26	28	76
27	29	75
28	29	73
29	30	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	64
37	38	63
38	39	62
39	40	61
40	42	60
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
